Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster,PCA1,PCA2
Argentina,ARG,2000,3.791907,0.9244997,1.7832171,0.3603982,0,0.19808665296571634,-0.20762452988633692
Argentina,ARG,2001,3.6720846,0.87912846,1.5030261,0.26719397,0,0.04035161799398637,-0.18689271012216424
Argentina,ARG,2002,3.727619,0.7940318,1.630601,0.14169566,0,0.059697295171656964,-0.2804433892498313
Argentina,ARG,2003,2.9013605,0.65179497,1.3177594,0.09918619,0,-0.31810203004283405,-0.12878326257383357
Argentina,ARG,2004,3.814152,0.7366862,1.4592054,0.25265485,0,0.012017025833788443,-0.23983768031459402
Argentina,ARG,2005,4.3904037,0.8219032,1.5729527,0.24090266,0,0.22844743389547678,-0.34777385589957704
Argentina,ARG,2006,3.9399483,0.9885979,1.2145631,0.31514996,0,0.04531963677336603,-0.15047890580833193
Argentina,ARG,2007,3.980678,0.7328877,1.4657754,0.29597387,0,0.060433125928208285,-0.255331698215767
Argentina,ARG,2008,3.4634306,0.78788084,1.3506528,0.25073656,0,-0.1007732011154252,-0.15061979739383444
Argentina,ARG,2009,3.8534336,0.6734957,1.5434277,0.18737334,0,0.02497487224363611,-0.29694228495683594
Argentina,ARG,2010,3.8357782,0.7268481,1.1322057,0.18657708,0,-0.11183510781510334,-0.21995962874840788
Argentina,ARG,2011,3.7216375,0.86389416,1.3655101,0.13933776,0,-0.01552604310191785,-0.2252968055756397
Argentina,ARG,2012,3.5413253,0.7767562,1.2483582,0.09267104,0,-0.1383396211013638,-0.20994642241853526
Argentina,ARG,2013,3.3842611,0.786433,1.5314747,0.16913722,0,-0.06421068554894904,-0.1949560594750964
Argentina,ARG,2014,3.3690996,0.6864136,1.5787513,0.16840293,0,-0.08415587668265592,-0.22002515211998616
Argentina,ARG,2015,2.9621956,0.820216,1.4353781,0.16772525,0,-0.19649959467554032,-0.09820273921179595
Argentina,ARG,2016,4.1067104,0.6660751,1.3321502,0.18183896,0,0.009915010672674467,-0.3133663129954193
Argentina,ARG,2017,3.7313516,0.81215876,1.5701736,0.18090914,0,0.04875716311179754,-0.25353664218202626
Argentina,ARG,2018,3.5265975,0.6611449,1.1873623,0.16512507,0,-0.1951476292468814,-0.19431822929217177
Argentina,ARG,2019,3.7399392,0.6593912,1.076557,0.13460141,0,-0.1845685150686464,-0.22721595222857058
Argentina,ARG,2020,3.530462,0.65803033,1.060906,0.14912413,0,-0.2429672753247561,-0.18212763279196278
Argentina,ARG,2021,3.2893836,1.0735224,1.3687412,0.17874195,0,-0.05155081413479968,-0.09123943741756761
Argentina,ARG,2022,3.9820266,0.7914801,1.2341725,0.18735498,0,-0.015584621012551812,-0.24850911757745
Armenia,ARM,2006,2.8677711,2.115091,1.3332694,0.0,0,0.15442027108074174,0.1339235564212991
Armenia,ARM,2007,5.7424297,1.21994,1.5249249,1.21994,0,0.7927690474651837,-0.13757165403514554
